d,gacputime,gawalltime,gaavgmax,gamaxmax,b1cputime,b1walltime,b1avgmax,b1maxmax
50,1.0726,1.0728,11.98,12.02,1.0065,1.0067,12.05,12.05
51,1.5875,1.5878,12.25,12.28,1.2967,1.2969,12.26,12.26
52,1.8372,1.8375,12.43,12.46,1.5964,1.5968,12.47,12.47
53,2.5235,2.5240,12.63,12.68,2.1688,2.1694,12.68,12.68
54,3.3640,3.3649,12.87,12.89,2.6541,2.6546,12.88,12.88
55,4.5479,4.5490,13.07,13.11,3.7450,3.7459,13.09,13.09
56,5.9035,5.9049,13.32,13.35,5.0669,5.0683,13.30,13.30
57,8.1186,8.1204,13.51,13.55,7.0025,7.0043,13.51,13.51
58,11.3934,11.3962,13.74,13.76,8.4585,8.4601,13.71,13.71
59,15.9473,15.9501,14.01,14.06,11.4367,11.4393,13.92,13.92
60,21.0917,21.0979,14.17,14.17,15.6902,15.6949,14.13,14.13
61,29.4500,29.4553,14.41,14.44,20.1651,20.1695,14.34,14.34
62,37.9389,37.9484,14.65,14.67,27.6268,27.6356,14.54,14.54
63,60.5886,60.6077,14.84,14.84,38.4110,38.4228,14.75,14.75
64,82.1041,82.1300,15.07,15.08,47.3602,47.3740,14.96,14.96
65,110.2384,110.2708,15.26,15.28,63.0296,63.0490,15.17,15.17
66,150.1057,150.1493,15.48,15.48,79.2390,79.2602,15.37,15.37
67,216.4057,216.4670,15.68,15.68,108.0711,108.1058,15.58,15.58
68,293.8716,293.9636,15.94,15.94,140.3971,140.4343,15.79,15.79
69,395.7486,395.8645,16.15,16.17,192.6171,192.6776,16.00,16.00
70,540.8989,541.0667,16.37,16.37,252.6288,252.7163,16.20,16.20
71,771.9054,772.2021,16.58,16.60,332.9120,333.0152,16.41,16.41
72,1020.2674,1020.5468,16.78,16.80,437.2688,437.3928,16.62,16.62
73,1426.9915,1427.4198,17.00,17.00,622.5373,622.7376,16.83,16.83
74,1922.8179,1923.4388,17.20,17.20,823.7099,823.9818,17.03,17.03
75,2452.8739,2453.4944,17.43,17.43,1139.7663,1140.2157,17.24,17.24
76,3805.0284,3806.4079,17.66,17.66,1317.6768,1318.1210,17.45,17.45
77,4848.3219,4849.8206,17.87,17.89,1690.0646,1690.5987,17.66,17.66
78,6654.7736,6656.6785,18.09,18.09,2346.8513,2347.5111,17.86,17.86
79,9843.9661,9847.2863,18.29,18.29,2911.6346,2912.4937,18.07,18.07
80,11829.8184,11833.1254,18.52,18.52,3966.1722,3967.3243,18.28,18.28
